Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-04-17,,BRK,W,115,114,42,89,.472,12,33,.364,19,24,.792,14,43,24,12,5,14,24,,42,78,.538,11,24,.458,19,24,.792,5,29,20,12,6,16,26
2,2,2022-04-20,,BRK,W,114,107,39,75,.520,11,31,.355,25,31,.806,7,36,27,7,4,14,27,,35,76,.461,10,21,.476,27,34,.794,9,36,16,8,8,14,28
3,3,2022-04-23,@,BRK,W,109,103,42,84,.500,12,39,.308,13,14,.929,13,34,26,13,3,14,19,,39,77,.506,12,29,.414,13,16,.813,12,33,25,7,5,18,22
4,4,2022-04-25,@,BRK,W,116,112,42,89,.472,14,35,.400,18,22,.818,10,45,26,3,4,13,28,,41,81,.506,13,35,.371,17,29,.586,8,38,28,5,7,10,23
5,5,2022-05-01,,MIL,L,89,101,28,84,.333,18,50,.360,15,20,.750,10,48,21,8,7,18,25,,37,90,.411,12,34,.353,15,21,.714,10,54,22,11,5,13,21
6,6,2022-05-03,,MIL,W,109,86,38,80,.475,20,43,.465,13,15,.867,7,40,28,10,5,11,23,,34,73,.466,3,18,.167,15,23,.652,5,37,16,4,5,16,19
7,7,2022-05-07,@,MIL,L,101,103,32,87,.368,9,33,.273,28,34,.824,11,47,23,5,13,12,21,,40,99,.404,9,34,.265,14,17,.824,13,53,20,8,4,10,27
8,8,2022-05-09,@,MIL,W,116,108,42,84,.500,14,37,.378,18,20,.900,4,38,25,2,4,11,25,,39,94,.415,9,27,.333,21,27,.778,13,48,18,6,3,7,17
9,9,2022-05-11,,MIL,L,107,110,42,82,.512,10,31,.323,13,15,.867,5,36,25,6,7,10,19,,40,92,.435,13,29,.448,17,21,.810,17,49,22,5,5,13,14
10,10,2022-05-13,@,MIL,W,108,95,38,87,.437,17,43,.395,15,23,.652,8,42,22,5,7,8,17,,36,88,.409,7,29,.241,16,18,.889,7,49,15,5,3,10,25
11,11,2022-05-15,,MIL,W,109,81,37,88,.420,22,55,.400,13,18,.722,8,48,29,5,7,12,19,,33,90,.367,4,33,.121,11,16,.688,11,56,20,5,5,13,18
12,12,2022-05-17,@,MIA,L,107,118,36,79,.456,11,34,.324,24,32,.750,8,38,22,8,8,16,23,,39,80,.488,10,30,.333,30,34,.882,9,39,18,10,12,12,24
13,13,2022-05-19,@,MIA,W,127,102,43,84,.512,20,40,.500,21,23,.913,8,41,28,8,5,9,21,,38,86,.442,10,34,.294,16,22,.727,12,42,21,4,3,14,18
14,14,2022-05-21,,MIA,L,103,109,34,70,.486,12,32,.375,23,30,.767,9,44,21,2,7,23,21,,43,92,.467,11,33,.333,12,14,.857,8,34,22,19,4,8,24
15,15,2022-05-23,,MIA,W,102,82,31,78,.397,8,34,.235,32,38,.842,14,60,21,4,11,9,15,,30,90,.333,14,36,.389,8,14,.571,10,39,22,4,2,9,26
16,16,2022-05-25,@,MIA,W,93,80,33,71,.465,10,33,.303,17,23,.739,6,46,24,5,7,15,19,,30,94,.319,7,45,.156,13,14,.929,19,49,14,7,2,12,19
17,17,2022-05-27,,MIA,L,103,111,32,72,.444,11,33,.333,28,31,.903,6,34,22,10,4,17,28,,36,78,.462,15,35,.429,24,25,.960,11,37,25,10,2,17,27
18,18,2022-05-29,@,MIA,W,100,96,35,85,.412,11,32,.344,19,24,.792,10,51,22,4,6,13,26,,37,88,.420,6,30,.200,16,24,.667,7,44,16,4,5,8,18
19,19,2022-06-02,@,GSW,W,120,108,43,85,.506,21,41,.512,13,16,.813,7,39,33,7,6,12,13,,39,88,.443,19,45,.422,11,15,.733,12,39,24,8,6,14,16
