Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-04-16,,DEN,W,123,107,43,82,.524,16,35,.457,21,29,.724,10,41,33,5,8,12,22,,43,93,.462,11,35,.314,10,13,.769,9,35,26,8,3,10,22
2,2,2022-04-18,,DEN,W,126,106,46,84,.548,17,40,.425,17,24,.708,6,35,27,10,8,9,20,,37,87,.425,13,36,.361,19,21,.905,17,47,20,4,4,16,25
3,3,2022-04-21,@,DEN,W,118,113,41,74,.554,18,40,.450,18,28,.643,4,30,29,7,6,16,25,,40,80,.500,11,26,.423,22,27,.815,11,44,25,9,3,17,26
4,4,2022-04-24,@,DEN,L,121,126,43,86,.500,12,34,.353,23,32,.719,9,36,26,15,3,15,27,,41,73,.562,15,31,.484,29,36,.806,5,33,28,9,2,20,31
5,5,2022-04-27,,DEN,W,102,98,37,82,.451,13,31,.419,15,21,.714,6,37,28,10,6,9,22,,36,81,.444,6,29,.207,20,29,.690,14,50,26,5,5,14,21
6,6,2022-05-01,@,MEM,W,117,116,45,93,.484,14,38,.368,13,20,.650,16,52,31,10,6,18,25,,41,95,.432,16,40,.400,18,24,.750,16,46,26,11,6,14,19
7,7,2022-05-03,@,MEM,L,101,106,40,95,.421,7,38,.184,14,18,.778,14,52,27,6,2,18,20,,36,91,.396,14,45,.311,20,21,.952,13,49,17,13,6,14,23
8,8,2022-05-07,,MEM,W,142,112,53,85,.624,17,32,.531,19,21,.905,4,38,34,5,4,16,24,,40,92,.435,16,43,.372,16,21,.762,7,30,21,7,4,10,20
9,9,2022-05-09,,MEM,W,101,98,36,90,.400,9,37,.243,20,22,.909,10,54,25,6,7,16,15,,40,96,.417,9,35,.257,9,15,.600,10,48,25,10,10,12,19
10,10,2022-05-11,@,MEM,L,95,134,36,80,.450,14,39,.359,9,13,.692,4,37,22,3,5,22,23,,47,99,.475,18,41,.439,22,30,.733,18,55,37,12,4,9,17
11,11,2022-05-13,,MEM,W,110,96,41,104,.394,20,53,.377,8,11,.727,25,70,24,3,10,17,17,,34,96,.354,15,36,.417,13,20,.650,10,44,21,8,6,6,12
12,12,2022-05-18,,DAL,W,112,87,46,82,.561,10,29,.345,10,16,.625,7,51,24,8,7,15,22,,31,86,.360,11,48,.229,14,21,.667,9,35,14,7,1,13,17
13,13,2022-05-20,,DAL,W,126,117,46,82,.561,14,28,.500,20,25,.800,8,43,33,4,2,13,26,,37,78,.474,21,45,.467,22,29,.759,4,30,22,7,5,12,20
14,14,2022-05-22,@,DAL,W,109,100,38,81,.469,11,32,.344,22,25,.880,14,47,28,5,1,10,23,,30,75,.400,13,45,.289,27,34,.794,7,33,18,4,2,7,18
15,15,2022-05-24,@,DAL,L,109,119,41,84,.488,10,28,.357,17,26,.654,6,42,26,5,4,8,18,,41,82,.500,20,43,.465,17,22,.773,4,45,30,4,6,8,19
16,16,2022-05-26,,DAL,W,120,110,45,88,.511,14,36,.389,16,16,1.000,14,51,36,6,3,10,20,,37,82,.451,17,42,.405,19,25,.760,6,34,22,6,4,7,18
17,17,2022-06-02,,BOS,L,108,120,39,88,.443,19,45,.422,11,15,.733,12,39,24,8,6,14,16,,43,85,.506,21,41,.512,13,16,.813,7,39,33,7,6,12,13
